date,vol_pctile_SPY,vol_pctile_EEM,vol_pctile_EWJ,vol_pctile_XLE,vol_pctile_XLU,vol_pctile_TLT,vol_pctile_SHY,vol_pctile_LQD,vol_pctile_HYG,vol_pctile_USO,vol_pctile_UNG,vol_pctile_GLD,vol_pctile_DBA,vol_pctile_UUP,vol_pctile_FXY,vol_pctile_VNQ,vol_pctile_RWX,er_SPY,er_EEM,er_EWJ,er_XLE,er_XLU,er_TLT,er_SHY,er_LQD,er_HYG,er_USO,er_UNG,er_GLD,er_DBA,er_UUP,er_FXY,er_VNQ,er_RWX,port_vol,port_vol_pctile,cross_asset_dispersion
1996-04-17,,,,,,,,,,,,,,,,,,0.137645,,,,,,,,,,,,,,,,,0.140086,,0.041004
1996-04-18,,,,,,,,,,,,,,,,,,0.134327,,,,,,,,,,,,,,,,,0.1401,,0.044503
1996-04-19,,,,,,,,,,,,,,,,,,0.126633,,,,,,,,,,,,,,,,,0.139914,,0.050809
1996-04-22,0.990741,,,,,,,,,,,,,,,,,0.141524,,,,,,,,,,,,,,,,,0.144382,0.994709,0.048355
1996-04-23,0.98545,,,,,,,,,,,,,,,,,0.143427,,,,,,,,,,,,,,,,,0.143897,0.988095,0.045331
1996-04-24,0.98545,,,,,,,,,,,,,,,,,0.118814,,,,,,,,,,,,,,,,,0.143893,0.986772,0.049007
1996-04-25,0.981481,,,,,,,,,,,,,,,,,0.136673,,,,,,,,,,,,,,,,,0.143186,0.98545,0.046312
1996-04-26,0.972222,,,,,,,,,,,,,,,,,0.124661,,,,,,,,,,,,,,,,,0.142003,0.977513,0.035089
1996-04-29,0.968254,,,,,,,,,,,,,,,,,0.116782,,,,,,,,,,,,,,,,,0.142299,0.977513,0.032157
1996-04-30,0.96164,,,,,,,,,,,,,,,,,0.097664,,,,,,,,,,,,,,,,,0.141861,0.974868,0.02612
1996-05-01,0.958995,,,,,,,,,,,,,,,,,0.080308,,,,,,,,,,,,,,,,,0.141151,0.966931,0.032793
1996-05-02,0.984127,,,,,,,,,,,,,,,,,0.028407,,,,,,,,,,,,,,,,,0.14356,0.98545,0.032034
1996-05-03,0.980159,,,,,,,,,,,,,,,,,0.034816,,,,,,,,,,,,,,,,,0.14321,0.984127,0.038836
1996-05-06,0.958995,,,,,,,,,,,,,,,,,0.014016,,,,,,,,,,,,,,,,,0.141774,0.970899,0.033302
1996-05-07,0.968254,,,,,,,,,,,,,,,,,0.018612,,,,,,,,,,,,,,,,,0.141862,0.972222,0.035825
1996-05-08,0.978836,,,,,,,,,,,,,,,,,0.002639,,,,,,,,,,,,,,,,,0.141988,0.972222,0.015385
1996-05-09,0.97619,,,,,,,,,,,,,,,,,0.031044,,,,,,,,,,,,,,,,,0.142001,0.972222,0.005989
1996-05-10,0.980159,,,,,,,,,,,,,,,,,0.006004,,,,,,,,,,,,,,,,,0.140714,0.957672,0.007769
1996-05-13,1.0,,,,,,,,,,,,,,,,,0.011814,,,,,,,,,,,,,,,,,0.140015,0.952381,0.02367
1996-05-14,1.0,,,,,,,,,,,,,,,,,0.031396,,,,,,,,,,,,,,,,,0.140246,0.956349,0.019268
1996-05-15,0.989418,,,,,,,,,,,,,,,,,0.050232,,,,,,,,,,,,,,,,,0.138526,0.943122,0.010661
1996-05-16,0.969577,,,,,,,,,,,,,,,,,0.07093,,,,,,,,,,,,,,,,,0.136578,0.937831,0.008296
1996-05-17,0.941799,,,,,,,,,,,,,,,,,0.093728,,,,,,,,,,,,,,,,,0.133056,0.935185,0.019669
1996-05-20,0.943122,,,,,,,,,,,,,,,,,0.134948,,,,,,,,,,,,,,,,,0.132865,0.933862,0.034071
1996-05-21,0.933862,,,,,,,,,,,,,,,,,0.104675,,,,,,,,,,,,,,,,,0.129376,0.93254,0.051551
1996-05-22,0.935185,,,,,,,,,,,,,,,,,0.091279,,,,,,,,,,,,,,,,,0.129152,0.931217,0.053684
1996-05-23,0.933862,,,,,,,,,,,,,,,,,0.087291,,,,,,,,,,,,,,,,,0.129451,0.93254,0.066435
1996-05-24,0.929894,,,,,,,,,,,,,,,,,0.137131,,,,,,,,,,,,,,,,,0.127545,0.925926,0.066086
1996-05-28,0.928571,,,,,,,,,,,,,,,,,0.115669,,,,,,,,,,,,,,,,,0.124387,0.920635,0.059616
1996-05-29,0.928571,,,,,,,,,,,,,,,,,0.108875,,,,,,,,,,,,,,,,,0.124237,0.919312,0.049608
1996-05-30,0.924603,,,,,,,,,,,,,,,,,0.147808,,,,,,,,,,,,,,,,,0.123193,0.915344,0.053721
