cell,instrument,tenor_family,auction_date,cusip,security_term,original_security_term,remaining_term_days,reopening,announcemt_date,issue_date,offering_amt,t0_is_trading_day,valid_window,exclusion_reason,pre_open,pre_close,post_open,post_close,t0_index,iso_year,iso_week,calendar_month,qra_in_window,qra_signed,ann_in_window,ann_signed,ovl_2Year,ovl_3Year,ovl_5Year,ovl_7Year,ovl_10Year,ovl_20Year,ovl_30Year,ovl_TIPS,ovl_FRN
PRIMARY,TLT,30-Year,1990-02-08,912810EE4,30-Year,30-Year,10964,No,1990-01-31,1990-02-15,10000000000,NO,NO,T0_NOT_ON_GRID,,,,,,1990,6,1990-02,,,,,,,,,,,,,
PRIMARY,TLT,30-Year,1990-05-10,912810EF1,30-Year,30-Year,10963,No,1990-05-02,1990-05-15,10000000000,NO,NO,T0_NOT_ON_GRID,,,,,,1990,19,1990-05,,,,,,,,,,,,,
PRIMARY,TLT,30-Year,1990-08-09,912810EG9,30-Year,30-Year,10964,No,1990-08-01,1990-08-15,10250000000,NO,NO,T0_NOT_ON_GRID,,,,,,1990,32,1990-08,,,,,,,,,,,,,
PRIMARY,TLT,30-Year,1990-11-08,912810EG9,29-Year 9-Month,30-Year,10873,Yes,1990-10-31,1990-11-15,10750000000,NO,NO,T0_NOT_ON_GRID,,,,,,1990,45,1990-11,,,,,,,,,,,,,
PRIMARY,TLT,30-Year,1991-02-07,912810EH7,30-Year,30-Year,10966,No,1991-01-30,1991-02-15,11000000000,NO,NO,T0_NOT_ON_GRID,,,,,,1991,6,1991-02,,,,,,,,,,,,,
PRIMARY,TLT,30-Year,1991-05-09,912810EJ3,30-Year,30-Year,10964,No,1991-05-01,1991-05-15,11750000000,NO,NO,T0_NOT_ON_GRID,,,,,,1991,19,1991-05,,,,,,,,,,,,,
PRIMARY,TLT,30-Year,1991-08-08,912810EK0,30-Year,30-Year,10965,No,1991-07-31,1991-08-15,12000000000,NO,NO,T0_NOT_ON_GRID,,,,,,1991,32,1991-08,,,,,,,,,,,,,
PRIMARY,TLT,30-Year,1991-11-07,912810EL8,30-Year,30-Year,10966,No,1991-10-30,1991-11-15,12000000000,NO,NO,T0_NOT_ON_GRID,,,,,,1991,45,1991-11,,,,,,,,,,,,,
PRIMARY,TLT,30-Year,1992-02-13,912810EL8,29-Year 9-Month,30-Year,10868,Yes,1992-02-05,1992-02-18,10000000000,NO,NO,T0_NOT_ON_GRID,,,,,,1992,7,1992-02,,,,,,,,,,,,,
PRIMARY,TLT,30-Year,1992-05-07,912810EL8,29-Year 6-Month,30-Year,10784,Yes,1992-04-29,1992-05-15,10000000000,NO,NO,T0_NOT_ON_GRID,,,,,,1992,19,1992-05,,,,,,,,,,,,,
PRIMARY,TLT,30-Year,1992-08-13,912810EM6,30-Year,30-Year,10959,No,1992-08-05,1992-08-17,10000000000,NO,NO,T0_NOT_ON_GRID,,,,,,1992,33,1992-08,,,,,,,,,,,,,
PRIMARY,TLT,30-Year,1992-11-12,912810EN4,30-Year,30-Year,10960,No,1992-11-03,1992-11-16,10250000000,NO,NO,T0_NOT_ON_GRID,,,,,,1992,46,1992-11,,,,,,,,,,,,,
PRIMARY,TLT,30-Year,1993-02-11,912810EP9,30-Year,30-Year,10961,No,1993-02-03,1993-02-16,9250000000,NO,NO,T0_NOT_ON_GRID,,,,,,1993,6,1993-02,,,,,,,,,,,,,
PRIMARY,TLT,30-Year,1993-05-13,912810EP9,29-Year 9-Month,30-Year,10870,Yes,1993-05-05,1993-05-17,8250000000,NO,NO,T0_NOT_ON_GRID,,,,,,1993,19,1993-05,,,,,,,,,,,,,
PRIMARY,TLT,30-Year,1993-08-12,912810EQ7,30-Year,30-Year,10960,No,1993-08-04,1993-08-16,11000000000,NO,NO,T0_NOT_ON_GRID,,,,,,1993,32,1993-08,,,,,,,,,,,,,
PRIMARY,TLT,30-Year,1994-02-10,912810EQ7,29-Year 6-Month,30-Year,10778,Yes,1994-02-02,1994-02-15,11000000000,NO,NO,T0_NOT_ON_GRID,,,,,,1994,6,1994-02,,,,,,,,,,,,,
PRIMARY,TLT,30-Year,1995-02-09,912810ET1,30-Year,30-Year,10964,No,1995-02-01,1995-02-15,11000000000,NO,NO,T0_NOT_ON_GRID,,,,,,1995,6,1995-02,,,,,,,,,,,,,
PRIMARY,TLT,30-Year,1995-08-10,912810EV6,30-Year,30-Year,10963,No,1995-08-02,1995-08-15,11500000000,NO,NO,T0_NOT_ON_GRID,,,,,,1995,32,1995-08,,,,,,,,,,,,,
PRIMARY,TLT,30-Year,1996-02-08,912810EW4,30-Year,30-Year,10965,No,1996-01-31,1996-02-15,12000000000,NO,NO,T0_NOT_ON_GRID,,,,,,1996,6,1996-02,,,,,,,,,,,,,
PRIMARY,TLT,30-Year,1996-08-08,912810EX2,30-Year,30-Year,10964,No,1996-07-31,1996-08-15,10000000000,NO,NO,T0_NOT_ON_GRID,,,,,,1996,32,1996-08,,,,,,,,,,,,,
PRIMARY,TLT,30-Year,1996-11-07,912810EY0,30-Year,30-Year,10965,No,1996-10-30,1996-11-15,10000000000,NO,NO,T0_NOT_ON_GRID,,,,,,1996,45,1996-11,,,,,,,,,,,,,
PRIMARY,TLT,30-Year,1997-02-13,912810EZ7,30-Year,30-Year,10959,No,1997-02-05,1997-02-18,10000000000,NO,NO,T0_NOT_ON_GRID,,,,,,1997,7,1997-02,,,,,,,,,,,,,
PRIMARY,TLT,30-Year,1997-08-07,912810FA1,30-Year,30-Year,10965,No,1997-07-30,1997-08-15,10000000000,NO,NO,T0_NOT_ON_GRID,,,,,,1997,32,1997-08,,,,,,,,,,,,,
PRIMARY,TLT,30-Year,1997-11-06,912810FB9,30-Year,30-Year,10966,No,1997-10-29,1997-11-17,10000000000,NO,NO,T0_NOT_ON_GRID,,,,,,1997,45,1997-11,,,,,,,,,,,,,
PRIMARY,TLT,30-Year,1998-02-12,912810FB9,29-Year 9-Month,30-Year,10868,Yes,1998-02-04,1998-02-17,10000000000,NO,NO,T0_NOT_ON_GRID,,,,,,1998,7,1998-02,,,,,,,,,,,,,
PRIMARY,TLT,30-Year,1998-08-13,912810FE3,30-Year,30-Year,10960,No,1998-08-05,1998-08-17,10000000000,NO,NO,T0_NOT_ON_GRID,,,,,,1998,33,1998-08,,,,,,,,,,,,,
PRIMARY,TLT,30-Year,1998-11-05,912810FF0,30-Year,30-Year,10968,No,1998-10-28,1998-11-16,10000000000,NO,NO,T0_NOT_ON_GRID,,,,,,1998,45,1998-11,,,,,,,,,,,,,
PRIMARY,TLT,30-Year,1999-02-11,912810FG8,30-Year,30-Year,10962,No,1999-02-03,1999-02-16,10000000000,NO,NO,T0_NOT_ON_GRID,,,,,,1999,6,1999-02,,,,,,,,,,,,,
