scope,year,n_winter,n_summer,winter_bps,summer_bps,spread_bps
Pooled,2007,49,129,-2.797367810316278,5.9499635653321095,-8.747331375648388
Pooled,2008,124,129,6.155207778741278,-19.318189796216483,25.47339757495776
Pooled,2009,124,128,-1.0427639366196504,10.680268243091719,-11.723032179711367
Pooled,2010,125,127,4.449830947063252,4.021801295027641,0.42802965203561055
Pooled,2011,124,128,2.766481051849652,-2.4526396153853987,5.21912066723505
Pooled,2012,123,127,1.31909761475027,2.8104501014154732,-1.4913524866652033
Pooled,2013,123,129,4.008477038372395,-1.8021583973922877,5.8106354357646826
Pooled,2014,123,129,1.3552624667230733,-0.6873317605602244,2.0425942272832978
Pooled,2015,124,128,-2.1815111284573865,-4.836771751366298,2.6552606229089113
Pooled,2016,124,128,4.376236408665173,2.73979482370018,1.6364415849649936
Pooled,2017,122,129,2.508825340081079,1.8967713216163824,0.612054018464697
Pooled,2018,122,129,-1.9965159760065592,-1.0131136347838638,-0.9834023412226951
Pooled,2019,123,129,7.363503367332625,2.775018972129166,4.5884843952034595
Pooled,2020,125,128,-6.045879856593356,4.886440560376282,-10.932320416969638
Pooled,2021,125,127,4.276013356155526,7.129812780095174,-2.8537994239396474
Pooled,2022,124,127,4.214690591329613,-5.877895124119413,10.092585715449026
Pooled,2023,122,128,3.3781084861724593,-1.7623353377791426,5.140443823951602
Pooled,2024,124,128,1.5608121857894097,4.931768366972369,-3.3709561811829594
Pooled,2025,122,128,2.592617334885203,5.938661049954453,-3.3460437150692495
Pooled,2026,82,30,13.25424319713475,-2.5610811944623597,15.81532439159711
Equity,2007,49,129,-6.118111941762089,10.382661219683781,-16.500773161445867
Equity,2008,124,129,2.0405853562299536,-26.682339665069463,28.722925021299417
Equity,2009,124,128,5.760828747453907,15.133681743626946,-9.37285299617304
Equity,2010,125,127,9.095017996663403,3.1890998473035594,5.905918149359845
Equity,2011,124,128,5.710831510359024,-5.050309699830021,10.761141210189045
Equity,2012,123,127,7.790493841005968,0.8062246049456911,6.9842692360602765
Equity,2013,123,129,10.86853229203849,3.455113466421887,7.413418825616602
