scope,horizon,threshold,n_comp,n_all,breakout_rate_comp,breakout_rate_all,genuine_ft_comp,genuine_ft_all,genuine_ft_delta,ft_given_breakout_comp,ft_given_breakout_all,ft_given_breakout_delta,ER_comp,ER_all,ER_delta,expansion_comp,expansion_all,fwd_abs_comp,fwd_abs_all
Pooled,5,0.1,13826,98368,0.6931,0.5991,0.4968,0.4266,0.0702,0.7168,0.7121,0.0047,0.462,0.4536,0.0085,1.5287,1.2071,0.0149,0.019
Equity,5,0.1,4725,35533,0.7075,0.602,0.5088,0.4243,0.0845,0.7191,0.7047,0.0144,0.4555,0.4502,0.0053,1.5216,1.2088,0.0169,0.0214
Bond,5,0.1,3479,22746,0.6991,0.6119,0.499,0.4426,0.0564,0.7138,0.7233,-0.0095,0.4465,0.4474,-0.001,1.6094,1.2246,0.0066,0.008
Commodity,5,0.1,2710,20111,0.6535,0.5899,0.4742,0.4235,0.0507,0.7256,0.7179,0.0076,0.4867,0.4621,0.0245,1.4471,1.1813,0.0244,0.0307
FX,5,0.1,1435,9667,0.6906,0.5752,0.4892,0.4065,0.0827,0.7084,0.7068,0.0015,0.4776,0.4557,0.0219,1.536,1.2105,0.008,0.0092
RealEstate,5,0.1,1477,10311,0.7082,0.6016,0.5024,0.4244,0.078,0.7094,0.7055,0.0039,0.4594,0.4601,-0.0007,1.5038,1.2101,0.0169,0.0215
Pooled,5,0.2,23862,98368,0.6737,0.5991,0.4806,0.4266,0.054,0.7134,0.7121,0.0013,0.4605,0.4536,0.007,1.439,1.2071,0.015,0.019
Equity,5,0.2,8253,35533,0.6853,0.602,0.4865,0.4243,0.0622,0.7099,0.7047,0.0051,0.4546,0.4502,0.0044,1.4401,1.2088,0.0171,0.0214
Bond,5,0.2,6022,22746,0.6792,0.6119,0.4834,0.4426,0.0408,0.7117,0.7233,-0.0116,0.4485,0.4474,0.0011,1.4826,1.2246,0.0066,0.008
Commodity,5,0.2,4568,20111,0.6528,0.5899,0.4785,0.4235,0.055,0.7331,0.7179,0.0151,0.4807,0.4621,0.0186,1.3782,1.1813,0.0251,0.0307
FX,5,0.2,2457,9667,0.6589,0.5752,0.4676,0.4065,0.0611,0.7097,0.7068,0.0029,0.4752,0.4557,0.0195,1.4467,1.2105,0.0081,0.0092
RealEstate,5,0.2,2562,10311,0.6745,0.6016,0.4711,0.4244,0.0467,0.6985,0.7055,-0.007,0.458,0.4601,-0.0021,1.4341,1.2101,0.0168,0.0215
Pooled,5,0.3,33006,98368,0.6593,0.5991,0.4703,0.4266,0.0436,0.7133,0.7121,0.0012,0.4596,0.4536,0.006,1.3837,1.2071,0.0153,0.019
Equity,5,0.3,11572,35533,0.6746,0.602,0.4769,0.4243,0.0526,0.707,0.7047,0.0023,0.4536,0.4502,0.0034,1.3921,1.2088,0.0174,0.0214
