month_end,xsmom_tercile_net,xsmom_rank_net,tsmom_net,buy_hold,xsmom_tercile_10v,combined_10v,rolling36_corr
2008-05-31,0.012668,0.015639,0.005461,0.012977,0.006233,0.005847,
2008-06-30,0.106321,0.123748,0.015749,-0.003976,0.052212,0.033981,
2008-07-31,-0.122277,-0.109907,-0.068306,-0.050245,-0.059342,-0.063824,
2008-08-31,-0.054972,-0.044531,0.012325,-0.023261,-0.020595,-0.004135,
2008-09-30,-0.01257,-2.2e-05,0.065245,-0.068052,-0.003951,0.030647,
2008-10-31,0.118879,0.091448,0.042809,-0.130133,0.030918,0.036863,
2008-11-30,0.077105,0.105811,0.012247,-0.034178,0.012881,0.012564,
2008-12-31,-0.010724,-0.039226,-4.5e-05,0.037215,-0.001601,-0.000823,
2009-01-31,0.095627,0.075972,0.003345,-0.061741,0.013916,0.008631,
2009-02-28,0.085701,0.07445,0.014212,-0.074535,0.01452,0.014366,
2009-03-31,-0.052586,-0.042781,-0.024856,0.02958,-0.010048,-0.017452,
2009-04-30,-0.100872,-0.096913,-0.013135,0.046749,-0.018991,-0.016063,
2009-05-31,-0.132461,-0.135395,-0.002832,0.073044,-0.025932,-0.014382,
2009-06-30,0.016685,0.010969,-0.004683,-0.007629,0.00356,-0.000562,
2009-07-31,-0.020953,-0.003517,0.027494,0.033111,-0.005258,0.011118,
2009-08-31,-0.003451,0.010153,0.036383,0.010628,-0.001037,0.017673,
2009-09-30,-0.00853,-0.012264,0.042332,0.032281,-0.003274,0.019529,
2009-10-31,0.005962,0.013977,-0.004339,-0.012267,0.002276,-0.001032,
2009-11-30,0.053303,0.071932,0.053307,0.025068,0.023153,0.03823,
2009-12-31,-0.011894,-0.005259,-0.022587,0.009967,-0.006137,-0.014362,
2010-01-31,-0.031033,-0.033149,-0.042096,-0.026028,-0.020536,-0.031316,
2010-02-28,0.044574,0.046643,0.009108,0.014898,0.029319,0.019213,
2010-03-31,0.112225,0.120122,0.033861,0.007712,0.060594,0.047228,
2010-04-30,0.01577,0.014986,0.026177,0.019905,0.008974,0.017575,
2010-05-31,-0.134159,-0.125095,-0.081293,-0.0366,-0.073808,-0.077551,
2010-06-30,-0.051012,-0.051517,0.00653,-0.000241,-0.018367,-0.005919,
2010-07-31,0.014596,0.005977,-0.011529,0.045867,0.004688,-0.00342,
2010-08-31,0.093057,0.096672,0.01336,-0.015342,0.032646,0.023003,
2010-09-30,0.052556,0.0535,0.008078,0.039135,0.032395,0.020236,
2010-10-31,-0.012911,0.002204,0.066474,0.017979,-0.011228,0.027623,
2010-11-30,-0.044825,-0.037443,-0.037411,-0.004318,-0.037172,-0.037292,
2010-12-31,0.022442,0.025589,0.035933,0.041812,0.021021,0.028477,
2011-01-31,0.011259,0.006703,0.012915,0.002735,0.011619,0.012267,
2011-02-28,0.05006,0.059125,0.028525,0.016343,0.05098,0.039752,
2011-03-31,-0.016147,-0.024166,-0.013025,0.003407,-0.013607,-0.013316,
2011-04-30,0.018856,0.01328,0.028956,0.029117,0.011536,0.020246,0.550116
2011-05-31,-0.004663,-0.006849,-0.007156,-0.011493,-0.003096,-0.005126,0.550571
2011-06-30,-0.015498,-0.011421,-0.010362,-0.017398,-0.011942,-0.011152,0.56035
2011-07-31,0.004269,0.003827,0.021399,0.009656,0.002863,0.012131,0.494856
2011-08-31,-0.013278,-0.013947,0.020063,-0.014757,-0.00808,0.005992,0.500333
2011-09-30,-0.130297,-0.125524,0.017521,-0.060153,-0.05328,-0.01788,0.488582
2011-10-31,0.023825,0.029348,-0.035897,0.059478,0.009107,-0.013395,0.424683
2011-11-30,0.023446,0.026284,0.001713,-0.007739,0.009525,0.005619,0.424107
2011-12-31,0.053861,0.057324,0.02226,-0.012705,0.026816,0.024538,0.431253
2012-01-31,0.012598,0.027352,0.014653,0.017499,0.008886,0.011769,0.453862
2012-02-29,-0.05066,-0.041264,-0.025621,0.013293,-0.034001,-0.029811,0.470943
2012-03-31,0.047803,0.054813,0.007843,-0.020254,0.040599,0.024221,0.453739
2012-04-30,0.018244,0.022014,-0.001283,0.006167,0.013997,0.006357,0.439004
2012-05-31,0.070975,0.069558,-0.016952,-0.035456,0.057819,0.020433,0.413749
2012-06-30,-0.054848,-0.055201,-0.041105,0.036034,-0.043941,-0.042523,0.446301
2012-07-31,-0.017509,-0.024003,0.018932,0.026947,-0.011683,0.003624,0.453736
2012-08-31,-0.0032,0.001598,-0.015408,0.001629,-0.001948,-0.008678,0.465758
2012-09-30,-0.025588,-0.040451,0.003464,0.01268,-0.016673,-0.006605,0.485034
2012-10-31,0.007443,0.004744,0.000886,-0.006781,0.005275,0.00308,0.48555
2012-11-30,0.008719,0.008339,0.003165,-0.003439,0.008079,0.005622,0.463465
2012-12-31,0.03702,0.046226,0.061069,0.002775,0.036029,0.048549,0.469683
2013-01-31,0.005785,0.008603,0.035012,0.010923,0.007101,0.021057,0.451371
2013-02-28,0.025014,0.026123,0.014938,-0.001891,0.032661,0.0238,0.454819
2013-03-31,-0.002452,-0.005802,0.040263,0.023996,-0.0028,0.018731,0.416749
2013-04-30,0.059296,0.070435,0.044489,0.017794,0.068484,0.056487,0.440556
2013-05-31,-0.018825,-0.030444,-0.051647,-0.039116,-0.019984,-0.035815,0.270174
2013-06-30,-0.00583,-0.008305,0.009043,-0.020349,-0.005453,0.001795,0.275702
2013-07-31,0.017633,0.014854,0.002886,0.018447,0.012535,0.00771,0.279967
