universe,term,point,lo,hi
U1,term1_autocov,-4.189687464764911e-05,-0.00044176989685124063,0.00030756316789055363
U1,term2_leadlag,-6.298219639547032e-05,-0.00041222512353448777,0.00026370043457501005
U1,term3_dispersion,6.843331237226974e-06,2.864794978485723e-06,2.5596065176099584e-05
U2,term1_autocov,0.00013967386665112913,-0.0004339568775234256,0.000597695974542506
U2,term2_leadlag,0.00018121875328710324,-0.00035944584169188753,0.0006477072012982719
U2,term3_dispersion,4.210878568682632e-06,2.261305419963186e-06,1.6526074127506736e-05
U3,term1_autocov,-1.8190949460016922e-05,-8.175267224338372e-05,2.210238415323866e-05
U3,term2_leadlag,-1.0328192623965549e-05,-5.637306958860676e-05,2.3056923159225452e-05
U3,term3_dispersion,1.1063347346544885e-06,5.214734082661663e-07,6.284221377061615e-06
U4,term1_autocov,0.0004143320025346262,-0.0002381212363846979,0.0008320773135772249
U4,term2_leadlag,0.00020775662558636564,-0.00021081439959701447,0.00043395765235470054
U4,term3_dispersion,7.880452279358282e-05,1.0870758922451075e-05,0.0002564712251561304
U5,term1_autocov,1.2358233237820604e-05,-4.2986055977022156e-05,4.452985236065046e-05
U5,term2_leadlag,-7.457500584944761e-08,-3.146357181068321e-05,2.4854665610968262e-05
U5,term3_dispersion,1.0078219252764814e-06,5.630586240638072e-07,7.344159654170285e-06
