month_end,U1,U2,U3,U4,U5
2008-05-31,0.052228,0.023439,-0.011747,0.032155,0.005014
2008-06-30,0.082848,0.00242,0.022934,0.021472,0.039509
2008-07-31,-0.093787,-0.012899,-0.008304,0.067478,-0.004347
2008-08-31,-0.036945,-0.003101,0.003009,0.083156,0.015302
2008-09-30,-0.016122,0.006974,-0.047757,-0.014466,0.08612
2008-10-31,0.037425,0.000393,0.040081,-0.108179,0.022193
2008-11-30,0.108973,0.027897,0.022896,0.032329,0.128986
2008-12-31,0.008813,-0.01515,0.079616,0.088154,-0.124507
2009-01-31,0.099,-0.026839,0.016406,0.006517,-0.070924
2009-02-28,0.032556,-0.028179,-0.042749,-0.001483,0.048033
2009-03-31,-0.097014,-0.107903,-0.039687,0.029764,-0.002262
2009-04-30,-0.167082,-0.044868,-0.038128,0.035777,-0.1318
2009-05-31,-0.053562,-0.013276,-0.046502,-0.007015,-0.054723
2009-06-30,0.052047,0.012342,-0.027058,-0.089658,-0.030245
2009-07-31,-0.016713,0.021698,-0.010506,0.074671,-0.030726
2009-08-31,-0.03649,-0.060725,0.019679,0.127695,0.019049
2009-09-30,-0.017018,0.025371,0.027656,0.039851,-0.024893
2009-10-31,0.005773,0.040989,0.000753,0.028514,-0.012003
2009-11-30,0.036414,0.026676,0.007755,0.185339,0.004917
2009-12-31,0.020963,0.021394,0.020894,-0.059527,0.061629
2010-01-31,-0.042693,-0.012393,-0.019185,-0.019794,-0.027025
2010-02-28,0.037655,0.040385,0.016954,0.092829,0.011754
2010-03-31,0.054111,0.007759,0.060461,0.187948,0.029498
2010-04-30,0.04646,0.059448,0.008692,-0.009116,-0.005712
2010-05-31,-0.012504,0.006045,0.008239,-0.150947,-0.070127
2010-06-30,-0.045398,0.014176,-0.02265,-0.047201,-0.009335
2010-07-31,0.025605,-0.032066,-0.000306,-0.096355,0.030602
2010-08-31,-0.040939,0.032854,0.032462,0.205718,0.025702
2010-09-30,0.053567,0.01112,-0.002121,0.07413,0.032181
2010-10-31,0.000173,-0.014661,0.005993,0.108943,-0.036449
2010-11-30,-0.004832,0.089012,0.020125,0.06927,-0.005532
2010-12-31,-0.025126,-0.017474,0.032415,0.00288,0.017762
2011-01-31,0.019361,-0.047518,-0.040432,-0.073121,-0.016661
2011-02-28,0.012126,-0.056681,0.009078,0.176982,0.00918
2011-03-31,0.000552,0.046627,0.00041,-0.032411,-0.002187
2011-04-30,-0.014229,0.001986,0.008909,0.080716,0.002628
2011-05-31,-0.036953,0.021035,0.0141,-0.055812,-0.00574
2011-06-30,0.008814,-0.014312,0.002472,-0.020506,0.0046
2011-07-31,0.007875,0.000533,0.013818,0.103036,-0.00243
2011-08-31,-0.0164,-0.008582,-0.006911,0.133983,-0.060485
2011-09-30,-0.013278,-0.024926,-0.077913,-0.080515,-0.092074
2011-10-31,-0.010824,-0.000599,0.020856,0.021609,-0.009199
2011-11-30,0.027129,0.019515,0.010297,0.053102,0.024354
2011-12-31,0.029862,0.008627,-0.011139,-0.009744,-0.005176
2012-01-31,-0.094289,-0.027037,0.009892,0.18915,-0.005279
2012-02-29,-0.005963,-0.014842,-0.038861,0.031175,-0.028291
