spread,h,episode,start,end,n_flat_obs,delta_alone_ann,delta_drop_ann,_d_drop,same_sign_as_full
10Y-3M,21,0,2010-09-01,2010-09-01,1,0.001555974203027423,-0.019082474250525925,-0.001590206187543827,False
10Y-3M,21,1,2010-09-28,2010-11-05,18,0.30205815520021567,-0.021958107241868804,-0.0018298422701557336,False
10Y-3M,21,2,2011-08-01,2013-05-17,437,-0.01843591148962679,-0.019247821143240165,-0.0016039850952700137,True
10Y-3M,21,3,2015-01-14,2015-02-06,17,-0.4521886868699755,-0.01539812092568351,-0.0012831767438069592,True
10Y-3M,21,4,2015-03-25,2015-04-20,4,-0.31896183027219327,-0.018477538270089536,-0.0015397948558407946,True
10Y-3M,21,5,2015-08-25,2015-08-25,1,-0.13121995897621858,-0.019016743590536206,-0.0015847286325446838,True
10Y-3M,21,6,2015-09-30,2015-11-02,19,-0.0647028257092446,-0.018639204956735104,-0.0015532670797279253,True
10Y-3M,21,7,2015-11-18,2016-12-08,258,-0.04103045479768719,-0.015858868221245635,-0.0013215723517704695,True
10Y-3M,21,8,2017-01-06,2017-01-18,7,-0.037115142350875034,-0.01900955114965404,-0.0015841292624711699,True
10Y-3M,21,9,2017-02-08,2020-03-10,763,0.0074131116184722595,-0.03513612573668813,-0.0029280104780573446,False
10Y-3M,21,10,2022-07-14,2024-04-05,430,-0.07105824802034867,-0.005021995828478586,-0.00041849965237321547,True
10Y-3M,21,11,2024-05-16,2024-05-16,1,0.08476906643714169,-0.019123668850641817,-0.0015936390708868181,False
10Y-3M,21,12,2024-06-04,2024-09-18,65,0.15471098366628855,-0.02484726786818409,-0.0020706056556820075,False
10Y-3M,63,0,2010-09-01,2010-09-01,1,0.049141299841472516,-0.030985697236897883,-0.007746424309224471,False
10Y-3M,63,1,2010-09-28,2010-11-05,18,0.01742483385511523,-0.031380735960102005,-0.007845183990025501,False
10Y-3M,63,2,2011-08-01,2013-05-17,437,-0.029535898866666757,-0.0313350879507316,-0.0078337719876829,True
10Y-3M,63,3,2015-01-14,2015-02-06,17,-0.2128888205655476,-0.02940262333786324,-0.00735065583446581,True
10Y-3M,63,4,2015-03-25,2015-04-20,4,-0.29941235680097894,-0.030413642881253505,-0.007603410720313376,True
10Y-3M,63,5,2015-08-25,2015-08-25,1,-0.1444584686132176,-0.03088985576736586,-0.007722463941841465,True
10Y-3M,63,6,2015-09-30,2015-11-02,19,0.09148879826058041,-0.03210801912369793,-0.008027004780924482,False
10Y-3M,63,7,2015-11-18,2016-12-08,258,-0.06629325459374204,-0.025773288391098576,-0.006443322097774644,True
10Y-3M,63,8,2017-01-06,2017-01-18,7,-0.052813226476539236,-0.03087004693811146,-0.007717511734527865,True
10Y-3M,63,9,2017-02-08,2020-03-10,763,0.008106530068610687,-0.05463215386410349,-0.013658038466025873,False
10Y-3M,63,10,2022-07-14,2024-04-05,430,-0.09047255352180864,-0.014857805848092098,-0.0037144514620230246,True
10Y-3M,63,11,2024-05-16,2024-05-16,1,-0.018429089024550926,-0.030952246549340437,-0.007738061637335109,True
10Y-3M,63,12,2024-06-04,2024-09-18,65,0.05284707672094689,-0.0337305864547821,-0.008432646613695525,False
10Y-3M,126,0,2010-09-01,2010-09-01,1,0.11732473787065033,-0.04619526710141897,-0.023097633550709484,False
10Y-3M,126,1,2010-09-28,2010-11-05,18,0.014216924339101836,-0.04665652493514702,-0.02332826246757351,False
